SBD,HoTen,NgaySinh,KV,DT,UT,Toan,Van,Ly,Hoa,Sinh,Su,Dia,Anh,Nga,Phap,Trung,Duc,Nhat
TLA092882,Nguyen Xuan Nguyet,10/27/1997,KV2-NT,Khong,Khong,6.5,7.75,6.5,6,NA,NA,NA,4,NA,NA,NA,NA,NA
KTA074556,Hoang Thi Nga,11/26/1997,KV2,Khong,Khong,3,6.25,5,8,NA,NA,8.5,9,NA,NA,NA,NA,NA
SPB059755,Tran Thi Dung,12/13/1997,KV1,Khong,Khong,7.5,NA,8.25,8.75,NA,4.75,6.5,1.75,NA,NA,NA,NA,NA
BKT096039,Ho Van Dung,8/24/1997,KV2-NT,Khong,Khong,6.75,5.25,6.25,NA,NA,9,NA,4.25,NA,NA,NA,NA,NA
CON006402,Le Van Dung,8/6/1997,KV2-NT,NDT2,Khong,5,6.25,7.25,7.75,NA,NA,NA,6.25,NA,NA,NA,NA,NA
TLA097099,Tran Van Hai,3/23/1997,KV2-NT,Khong,Khong,7.5,5.5,NA,6.75,NA,NA,7.25,5,NA,NA,NA,NA,NA
SPB035659,Pham Van Sang,4/17/1997,KV2,Khong,Khong,8,NA,7.75,6.5,6,NA,NA,7,NA,NA,NA,NA,NA
TMA024898,Hoang Dang Thang,8/23/1997,KV3,Khong,Khong,6.75,4,8.75,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPB095796,Pham Van Ha,1/17/1997,KV2,Khong,Khong,5.5,6.5,7,8,NA,NA,NA,3.25,NA,NA,NA,NA,NA
BKT071115,Nguyen Van Sang,6/14/1997,KV2-NT,Khong,Khong,6.5,6.5,4.5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABC048147,Pham Van Hao,12/16/1997,KV1,Khong,Khong,9,8,5.5,NA,5.5,NA,NA,5.75,NA,NA,NA,NA,NA
TLA025678,Nguyen Van Phuong,9/29/1997,KV3,Khong,Khong,7.25,4.75,4.5,NA,NA,NA,NA,8.5,NA,NA,NA,NA,NA
CON047370,Nguyen Hai Tuan,3/20/1997,KV2,Khong,Khong,6.5,NA,4.75,NA,6,NA,NA,6.75,NA,NA,NA,NA,NA
TMA004375,Nguyen Xuan Ha,12/22/1997,KV2-NT,Khong,Khong,4.25,7.25,5.75,7.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPB017491,Nguyen Van Ha,11/13/1997,KV3,Khong,Khong,6.5,6,NA,9.5,NA,6.75,NA,2.25,NA,NA,NA,NA,NA
KTA015673,Ngo Xuan Cao,2/4/1997,KV2-NT,Khong,Khong,5.5,5.5,7.25,6.5,5.5,NA,NA,NA,NA,NA,NA,NA,NA
TMA068286,Hoang Van Tuan,10/4/1997,KV2,Khong,Khong,8.5,7,6.5,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA
TLA075827,Le Thi Hue,10/20/1997,KV2-NT,Khong,Khong,7.5,7.5,NA,5.75,NA,NA,NA,5.5,NA,NA,NA,NA,NA
KTA057716,Ngo Thi Tuan,10/20/1997,KV2-NT,Khong,Khong,6.75,6.75,6.25,NA,NA,9,NA,7,NA,NA,NA,NA,NA
BKT062597,Tran Thi Dung,5/28/1997,KV2-NT,Khong,Khong,9,6,6.75,6.5,NA,NA,NA,6.5,NA,NA,NA,NA,NA
SPB068427,Le Van Hai,5/5/1997,KV2,Khong,Khong,6.75,6.5,8.25,8.5,3.5,8.75,NA,2.25,NA,NA,NA,NA,NA
TLA089571,Nguyen Van Hoa,8/26/1997,KV2-NT,Khong,Khong,7.25,4.75,NA,7.5,NA,NA,7.25,3.75,NA,NA,NA,NA,NA
BKT053384,Tran Minh Tuan,10/16/1997,KV3,Khong,Khong,5.5,5,NA,9,NA,NA,NA,7,NA,NA,NA,NA,NA
TLA028990,Pham Thi Hoa,7/29/1997,KV2,Khong,Khong,7.25,6.5,7.25,4.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPB046546,Nguyen Thi Hao,5/7/1997,KV2-NT,Khong,Khong,6,5.5,8,7.75,5,NA,NA,7.75,NA,NA,NA,NA,NA
CON004354,Nguyen Thi Kien,12/4/1997,KV2,Khong,Khong,8.25,6.75,7,6.75,NA,NA,NA,2.75,NA,NA,NA,NA,NA
BKT009785,Nguyen Thi Hao,7/31/1997,KV1,Khong,Khong,6.5,5,3.75,8.75,NA,NA,4.75,8,NA,NA,NA,NA,NA
KTA056851,Nguyen Dang Phuong,4/9/1997,KV2,Khong,Khong,7.5,3.25,8.25,7.5,6.5,NA,NA,6.5,NA,NA,NA,NA,NA
CON055531,Tran Van Nguyet,8/20/1997,KV3,Khong,Khong,7.5,5.75,4,8.25,6.75,NA,8,2.25,NA,NA,NA,NA,NA
TLA061810,Le Hai Phuong,6/10/1997,KV3,Khong,Khong,4.5,5.5,NA,8.5,5.25,NA,NA,7.75,NA,NA,NA,NA,NA
TLA042966,Nguyen Thi Dung,8/15/1997,KV2-NT,Khong,Khong,7,6.5,8.5,7.75,NA,8,NA,NA,NA,NA,NA,NA,NA
ABC076106,Nguyen Van Hue,9/22/1997,KV3,Khong,Khong,6,6.5,7.5,6.5,NA,NA,NA,5.75,NA,NA,NA,NA,NA
SPB097905,Nguyen Thi Hao,3/1/1997,KV2-NT,Khong,Khong,7.75,4.5,5,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
KTA075796,Dang Thi Ha,2/13/1997,KV3,Khong,Khong,7,7.75,6.5,NA,9.5,NA,NA,5.5,NA,NA,NA,NA,NA
TLA020996,Dang Thi Ha,9/21/1997,KV2,Khong,Khong,9,2.75,8.5,6.5,4,NA,9.5,NA,NA,NA,NA,NA,NA
SPB088842,Le Van Dung,8/22/1997,KV2-NT,Khong,Khong,4,5.25,5.5,6,7.5,NA,NA,7.75,NA,NA,NA,NA,NA
TLA014578,Nguyen Thi Tuan,3/13/1997,KV3,Khong,Khong,3.25,6,7.5,7.75,4.5,NA,NA,8.75,NA,NA,NA,NA,NA
KTA085480,Pham Xuan Hue,6/2/1997,KV2-NT,Khong,Khong,5.75,8,7,6.25,NA,NA,NA,3.75,NA,NA,NA,NA,NA
SPB073511,Pham Minh Dung,9/18/1997,KV2,Khong,Khong,6.75,4.5,6.25,NA,NA,NA,9,3.5,NA,NA,NA,NA,NA
ABC011788,Nguyen Van Hung,9/28/1997,KV3,Khong,Khong,5.5,5.25,7.75,NA,3.75,NA,NA,8,NA,NA,NA,NA,NA
ABC019907,Nguyen Van Giang,9/4/1997,KV2,Khong,Khong,7.5,7.5,6.25,NA,NA,NA,NA,2.75,NA,NA,NA,NA,NA
CON053175,Tran Van Sang,10/22/1997,KV2-NT,Khong,Khong,7.5,5.5,6.75,7.75,NA,NA,NA,3.25,NA,NA,NA,NA,NA
TMA011510,Nguyen Thi Anh,9/7/1997,KV2,Khong,Khong,4.75,7.5,7.5,5.5,NA,NA,5,7.25,NA,NA,NA,NA,NA
TMA078335,Dang Thi Tuan,6/20/1997,KV2-NT,NDT1,Khong,6,5.75,6.75,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA
KTA084969,Le Thi Kien,12/30/1997,KV2-NT,Khong,Khong,7.5,7,NA,6,5.25,6.25,NA,6.75,NA,NA,NA,NA,NA
TMA025146,Nguyen Thi Hao,3/8/1997,KV2-NT,Khong,Khong,6.25,6.5,NA,8.75,NA,NA,NA,6.75,NA,NA,NA,NA,NA
SPB054212,Tran Van Ha,2/18/1997,KV2,Khong,Khong,3.5,NA,NA,7.5,NA,NA,NA,8.25,NA,NA,NA,NA,NA
BKT074481,Nguyen Van Hue,5/24/1997,KV3,Khong,Khong,8.25,4,5.75,7.5,4.75,6,NA,7.5,NA,NA,NA,NA,NA
TLA084343,Vu Hai Ha,4/19/1997,KV2,Khong,Khong,5.25,6.5,5.25,9,NA,NA,NA,4,NA,NA,NA,NA,NA
SPB081879,Nguyen Thi Hao,2/3/1997,KV2,Khong,Khong,6,4,6.75,5.5,NA,NA,9.25,5.25,NA,NA,NA,NA,NA
TLA009267,Nguyen Van Ha,4/19/1997,KV1,Khong,Khong,7.5,5.5,4,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
TLA024784,Nguyen Van Tuan,10/24/1997,KV2,Khong,Khong,7.25,7.25,NA,NA,NA,NA,NA,3.75,NA,NA,NA,NA,NA
TMA095555,Nguyen Thi Sang,2/4/1997,KV3,Khong,Khong,5.75,NA,8,7.5,5.5,NA,NA,4.75,NA,NA,NA,NA,NA
SPB016334,Nguyen Thi Tuan,7/6/1997,KV3,Khong,Khong,8.25,7,6.25,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
CON062597,Vu Van Cao,7/20/1997,KV2,Khong,Khong,5,NA,8,7,5.75,5.25,NA,6.25,NA,NA,NA,NA,NA
KTA092855,Hoang Dang Dung,10/2/1997,KV2-NT,Khong,Khong,5.75,6.5,4.75,8.5,4.5,NA,NA,NA,NA,NA,NA,NA,NA
SPB032266,Nguyen Thi Hue,3/18/1997,KV2-NT,Khong,Khong,6.5,NA,7.75,8.5,NA,NA,NA,4.25,NA,NA,NA,NA,NA
KTA005501,Nguyen Thi Cao,4/20/1997,KV2-NT,Khong,Khong,6,5,7.5,6.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
KTA075120,Nguyen Xuan Anh,12/2/1997,KV3,Khong,Khong,6.5,5.25,NA,3.75,6,NA,6.5,8.25,NA,NA,NA,NA,NA
TLA022872,Tran Van Tuan,11/25/1997,KV3,NDT2,Khong,5.25,NA,6.5,6.5,NA,NA,7.5,6.25,NA,NA,NA,NA,NA
CON027124,Nguyen Van Hai,5/5/1997,KV2,Khong,Khong,7,5.5,NA,7.25,NA,8.5,NA,3.75,NA,NA,NA,NA,NA
TLA072206,Tran Thi Khoa,7/21/1997,KV3,Khong,Khong,7.5,6.75,5.75,6.25,8.5,NA,7,2.25,NA,NA,NA,NA,NA
ABC075182,Pham Thi Kien,8/19/1997,KV1,Khong,Khong,4.75,7.5,NA,8,NA,NA,NA,6.75,NA,NA,NA,NA,NA
ABC048399,Pham Van Thang,7/30/1997,KV2-NT,Khong,Khong,7,NA,6.5,9,NA,NA,NA,2.25,NA,NA,NA,NA,NA
TLA007407,Nguyen Thi Hue,8/1/1997,KV2-NT,Khong,Khong,6.75,5,NA,7.25,5.75,NA,NA,5.25,NA,NA,NA,NA,NA
TMA070835,Nguyen Thi Hue,2/5/1997,KV2-NT,Khong,Khong,6.5,5.5,5.75,7.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
BKT097901,Nguyen Xuan Giang,11/18/1997,KV2-NT,Khong,Khong,7.5,8.5,7.75,6.25,3.5,NA,NA,3.25,NA,NA,NA,NA,NA
BKT054485,Duong Thi Huong,10/10/1997,KV3,Khong,Khong,9.25,3.5,7.75,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPB093205,Nguyen Nhu Ha,6/12/1997,KV2-NT,Khong,Khong,9,5.5,8.5,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA
TLA011140,Nguyen Xuan Huong,9/25/1997,KV2,Khong,Khong,5.5,4.5,8.5,7.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPB045936,Nguyen Minh Hue,11/10/1997,KV2,Khong,Khong,6.25,4.5,7.75,5.5,NA,NA,NA,7.75,NA,NA,NA,NA,NA
SPB023011,Nguyen Xuan Anh,3/15/1997,KV3,Khong,Khong,7.5,3.75,NA,7,5.5,NA,NA,6.5,NA,NA,NA,NA,NA
TMA000248,Nguyen Thi Hoa,12/25/1997,KV1,Khong,Khong,8,5.75,5.5,NA,6.25,NA,9,4,NA,NA,NA,NA,NA
SPB034202,Phan Van Kiem,4/20/1997,KV2-NT,Khong,Khong,6.25,6.75,NA,5.5,NA,NA,NA,5.75,NA,NA,NA,NA,NA
SPB049622,Nguyen Thi Nga,3/18/1997,KV2,Khong,Khong,6.5,5.25,NA,3.25,NA,7.75,NA,8,NA,NA,NA,NA,NA
CON008567,Phan Van Hai,12/27/1997,KV2-NT,Khong,Khong,4.75,5,NA,8.5,NA,NA,NA,6,NA,NA,NA,NA,NA
TLA012814,Pham Van Nguyet,5/19/1997,KV3,Khong,Khong,6.5,7,6,6.5,NA,NA,NA,4,NA,NA,NA,NA,NA
KTA095704,Phan Thi Anh,7/17/1997,KV1,Khong,Khong,6.5,5.5,7.5,6.75,NA,NA,6,NA,NA,NA,NA,NA,NA
CON059592,Nguyen Thi Ha,11/4/1997,KV3,Khong,Khong,6.5,5.5,5.5,6,NA,NA,7,NA,NA,NA,NA,NA,NA
TLA014729,Dang Van Giang,4/11/1997,KV2,Khong,Khong,5.75,7.5,5.5,5.5,4.5,NA,7,7.75,NA,NA,NA,NA,NA
KTA030414,Nguyen Van Anh,4/11/1997,KV2-NT,Khong,Khong,3,6.75,5.5,8.5,NA,NA,NA,6.25,NA,NA,NA,NA,NA
ABC025869,Nguyen Thi Thang,8/25/1997,KV3,Khong,Khong,7.75,NA,7.5,NA,NA,NA,8,3.25,NA,NA,NA,NA,NA
ABC072738,Nguyen Van Nguyet,6/16/1997,KV2,Khong,Khong,6.5,NA,8.5,8,NA,6.25,NA,8.25,NA,NA,NA,NA,NA
KTA090319,Nguyen Van Hue,6/5/1997,KV2-NT,Khong,Khong,5,4.5,6,NA,NA,6.75,NA,8,NA,NA,NA,NA,NA
KTA034429,Pham Van Kiem,12/26/1997,KV2,Khong,Khong,7.5,5.5,6.75,6.5,NA,NA,7.5,5.75,NA,NA,NA,NA,NA
BKT007261,Nguyen Van Anh,10/10/1997,KV1,Khong,Khong,7,8,5.75,5.75,NA,NA,7.5,4.75,NA,NA,NA,NA,NA
SPB072176,Vu Thi Khoa,11/19/1997,KV2-NT,Khong,Khong,7.5,3.5,4.75,7.5,NA,NA,7.75,NA,NA,NA,NA,NA,NA
ABC056678,Nguyen Thi Dung,7/29/1997,KV2-NT,Khong,Khong,6.75,7.5,6.5,7.25,NA,NA,7.5,NA,NA,NA,NA,NA,8
KTA012515,Le Thi Nguyet,5/10/1997,KV3,Khong,Khong,7,4.5,5.75,NA,NA,NA,NA,8,NA,NA,NA,NA,NA
BKT099788,Pham Minh Sang,8/7/1997,KV2-NT,Khong,Khong,7,NA,7,5.75,NA,NA,9.75,NA,NA,NA,NA,NA,NA
TLA053523,Le Thi Sang,7/8/1997,KV3,Khong,Khong,6.75,7.25,6,6.75,NA,NA,7,2.5,NA,NA,NA,NA,NA
BKT015016,Pham Thi Kien,7/15/1997,KV3,Khong,Khong,7.25,8.5,7.25,7.5,NA,NA,6.5,NA,NA,NA,NA,NA,NA
ABC065676,Tran Dang Quan,10/15/1997,KV2,Khong,Khong,6.75,NA,8.5,8.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
TLA047515,Hoang Thi Thang,1/8/1997,KV2-NT,Khong,Khong,8.25,NA,5.25,NA,NA,NA,NA,5.25,NA,NA,NA,NA,NA
BKT055757,Nguyen Thi Hue,6/1/1997,KV2-NT,Khong,Khong,3.25,5.25,6.5,8.5,7.25,NA,NA,6.25,NA,NA,NA,NA,NA
TLA025209,Tran Thi Nga,4/18/1997,KV2-NT,Khong,Khong,7.25,5,7.5,7.25,NA,NA,NA,7,NA,NA,NA,NA,NA
SPB095883,Phan Van Tuan,3/6/1997,KV2,Khong,Khong,5.25,5.25,6.25,5.5,NA,6.75,NA,7.25,NA,NA,NA,NA,NA
KTA048905,Nguyen Thi Ha,5/24/1997,KV2-NT,Khong,Khong,5.75,6,6,8.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
TMA027415,Tran Thi Cao,6/4/1997,KV3,Khong,Khong,7.25,6,8.25,6.5,7,NA,NA,4,NA,NA,NA,NA,NA
CON041675,Vu Van Giang,5/19/1997,KV2,NDT1,Khong,7.5,5,5.5,NA,3.75,8,NA,6.25,NA,NA,NA,NA,NA
ABC041907,Hoang Thi Phuong,5/16/1997,KV2,Khong,Khong,4.75,6.5,8.5,NA,8,NA,NA,3.5,NA,NA,NA,NA,NA
TMA064967,Nguyen Van Thang,9/18/1997,KV1,Khong,Khong,6.75,5,7.5,6.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
CON058401,Tran Thi Phuong,2/24/1997,KV2-NT,Khong,Khong,2.5,6.5,7.25,6.5,NA,NA,9.25,7,NA,NA,NA,NA,NA
KTA098529,Vu Thi Hai,4/5/1997,KV2,Khong,Khong,7.5,7,5.5,6.75,NA,NA,6,NA,NA,NA,NA,NA,NA
CON000093,Pham Van Khoa,9/21/1997,KV3,Khong,Khong,6,5.25,7.5,NA,NA,7,9,3.5,NA,NA,NA,NA,NA
KTA015437,Le Xuan Huong,12/5/1997,KV1,Khong,Khong,7.25,6.5,NA,8.5,6,NA,NA,2.75,NA,NA,NA,NA,NA
TLA014927,Nguyen Van Khoa,12/24/1997,KV1,Khong,Khong,8.25,7,7.5,NA,NA,7,NA,2,NA,NA,NA,NA,NA
KTA084700,Phan Thi Kien,9/1/1997,KV2,Khong,Khong,8.75,5.5,6.5,NA,NA,NA,8.25,3,NA,NA,NA,NA,NA
TMA093223,Nguyen Thi Cao,11/7/1997,KV2-NT,Khong,Khong,6.25,8.25,5.5,7.5,NA,NA,7.25,3,NA,NA,NA,NA,NA
ABC082046,Nguyen Thi Thang,5/7/1997,KV2,Khong,Khong,6.5,7.5,8.5,NA,NA,NA,NA,3.75,NA,NA,NA,NA,NA
BKT067511,Nguyen Van Phuong,2/1/1997,KV3,Khong,Khong,7.25,4.25,4.25,6.75,NA,NA,7.75,NA,NA,NA,NA,NA,NA
ABC042495,Do Dang Phuong,8/21/1997,KV2-NT,Khong,Khong,6,6.25,NA,6.75,NA,NA,NA,9,NA,NA,NA,NA,NA
SPB044643,Nguyen Van Kiem,9/18/1997,KV2-NT,Khong,Khong,8,7.5,7.5,8.25,NA,NA,NA,2,NA,NA,NA,NA,NA
ABC056177,Le Van Giang,11/19/1997,KV2-NT,Khong,Khong,9,5.5,NA,5,NA,NA,NA,6,NA,NA,NA,NA,NA
CON035351,Nguyen Thi Sang,4/5/1997,KV3,Khong,Khong,5.75,7,NA,6.75,NA,NA,NA,6.5,NA,NA,NA,NA,NA
ABC039678,Ngo Thi Khoa,7/2/1997,KV2-NT,Khong,Khong,5.75,5.75,5.5,7.5,NA,NA,8.5,5.25,NA,NA,NA,NA,NA
TMA054390,Hoang Hai Hoa,4/18/1997,KV2-NT,Khong,Khong,8.75,5,6.75,NA,NA,NA,NA,7.25,NA,NA,NA,NA,NA
TMA019187,Nguyen Van Dung,6/12/1997,KV1,NDT2,Khong,2.5,7,7.5,7.75,NA,NA,9,3.25,NA,NA,NA,NA,NA
BKT033529,Le Thi Hue,4/30/1997,KV3,Khong,Khong,8.75,6,NA,8,8.5,NA,3.25,6.25,NA,NA,NA,NA,NA
BKT002717,Nguyen Thi Ha,1/2/1997,KV2,Khong,Khong,6.75,5.25,8,7,4.75,NA,8.5,4,NA,NA,NA,NA,NA
SPB090529,Nguyen Van Tuan,1/22/1997,KV2-NT,Khong,Khong,7.75,NA,6.25,8,NA,NA,NA,2.25,NA,NA,NA,NA,NA
TMA004355,Pham Van Hao,3/15/1997,KV2-NT,Khong,Khong,6.75,5.25,7.5,9,NA,NA,4.5,3.75,NA,NA,NA,NA,NA
TLA044115,Nguyen Thi Hoa,2/4/1997,KV3,Khong,Khong,7,5,NA,6,NA,NA,NA,6.5,NA,NA,NA,NA,NA
ABC035537,Tran Thi Cao,3/1/1997,KV1,Khong,Khong,8,4.25,5.25,7.5,NA,NA,NA,5,NA,NA,NA,NA,NA
TLA021279,Nguyen Van Hung,5/19/1997,KV2,Khong,Khong,7,6.5,7.25,8,3.5,NA,NA,9.75,NA,NA,NA,NA,NA
ABC072075,Nguyen Thi Giang,5/13/1997,KV2-NT,Khong,Khong,6.25,6,6.75,NA,NA,NA,NA,8.5,NA,NA,NA,NA,NA
TMA021152,Phan Thi Hoa,9/19/1997,KV2-NT,Khong,Khong,6.75,7,5.75,8.25,NA,NA,NA,9,NA,NA,NA,NA,NA
CON049528,Vu Van Quan,1/5/1997,KV2-NT,Khong,Khong,6.5,4,6.25,8.25,NA,NA,NA,8.5,NA,NA,NA,NA,NA
TMA099005,Tran Dang Tuan,11/22/1997,KV3,Khong,Khong,5.25,5.75,6.25,7,5.75,NA,NA,7,NA,NA,NA,NA,NA
BKT064191,Phan Van Phuong,7/22/1997,KV3,NDT1,Khong,6.5,7.25,NA,6.25,7.75,NA,NA,2.75,NA,NA,NA,NA,NA
TLA086888,Nguyen Van Anh,1/31/1997,KV2-NT,Khong,Khong,5,6.75,5.25,8.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
KTA014883,Le Minh Kien,6/28/1997,KV2-NT,Khong,Khong,7.25,8,4,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
KTA083825,Duong Nhu Giang,5/7/1997,KV2-NT,Khong,Khong,9,6.25,NA,6,NA,NA,NA,4,NA,NA,NA,NA,NA
BKT096552,Pham Van Huong,1/12/1997,KV2-NT,Khong,Khong,5,6.5,NA,6.5,NA,NA,6.5,6.25,NA,NA,NA,NA,NA
KTA082107,Pham Thi Anh,8/3/1997,KV2,Khong,Khong,6.5,8,5.5,8.5,NA,NA,NA,6.25,NA,NA,NA,NA,NA
BKT017623,Nguyen Van Thang,12/24/1997,KV2,Khong,Khong,2.25,8.5,6.5,5.5,NA,8.25,NA,8.5,NA,NA,NA,NA,NA
TLA086727,Nguyen Van Hue,3/2/1997,KV2-NT,Khong,Khong,7.5,NA,6.75,7.75,NA,NA,NA,2.5,NA,NA,NA,NA,NA
TMA034984,Phan Hai Ha,5/22/1997,KV2-NT,Khong,Khong,6.75,7,4,NA,6.5,6.5,NA,6.5,NA,NA,NA,NA,NA
CON027031,Le Minh Huong,6/21/1997,KV2-NT,Khong,Khong,5.75,7.5,NA,7.25,NA,NA,8.75,4.75,NA,NA,NA,NA,NA
KTA007982,Hoang Van Hai,9/1/1997,KV2-NT,Khong,Khong,7,5,6.25,8.75,5.25,NA,8,1.75,NA,NA,NA,NA,NA
CON016324,Nguyen Xuan Huong,2/11/1997,KV2,Khong,Khong,5.75,NA,7,7,5.5,NA,NA,NA,NA,NA,NA,NA,NA
CON048899,Vu Thi Hue,6/15/1997,KV2-NT,Khong,Khong,6.5,5.75,7.25,5.25,5.5,NA,7.25,NA,NA,NA,NA,NA,NA
SPB008674,Nguyen Thi Sang,11/20/1997,KV3,Khong,Khong,7,5.5,5.25,4,NA,NA,NA,9.75,NA,NA,NA,NA,NA
ABC024546,Tran Xuan Ha,8/10/1997,KV2-NT,Khong,Khong,4.5,6,6,6.75,NA,NA,NA,9.5,NA,NA,NA,NA,NA
TMA012345,Nguyen Dang Kien,6/28/1997,KV2,Khong,Khong,6.5,5.25,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
CON064706,Nguyen Van Nga,3/27/1997,KV2,Khong,Khong,7.25,5.75,NA,7.25,NA,NA,6.75,3,NA,NA,NA,NA,NA
SPB020948,Hoang Van Tuan,4/21/1997,KV2-NT,Khong,Khong,6.5,6.5,7.25,NA,4.5,NA,NA,5.5,NA,NA,NA,NA,NA
TLA042855,Nguyen Thi Thang,12/24/1997,KV2-NT,Khong,Khong,7,6,5.5,7.5,NA,NA,NA,5,NA,NA,NA,NA,NA
BKT001658,Phan Van Hung,3/5/1997,KV2,Khong,Khong,7.25,5,5.75,7,NA,6.75,7,NA,NA,NA,NA,NA,NA
TLA056539,Nguyen Thi Phuong,11/24/1997,KV2,Khong,Khong,6.75,7.25,7.25,6.75,NA,NA,NA,5.25,NA,NA,NA,NA,NA
TLA079248,Bui Van Hai,7/31/1997,KV2-NT,Khong,Khong,7.5,6.75,3.5,NA,3.25,NA,7.5,8.25,NA,NA,NA,NA,NA
TMA018882,Pham Thi Ha,3/3/1997,KV2-NT,Khong,Khong,6.75,8.5,6,4.5,NA,NA,7,3.25,NA,NA,NA,NA,NA
TLA038488,Ho Thi Phuong,10/9/1997,KV2-NT,Khong,Khong,7.5,5.5,6.75,NA,NA,NA,6.75,3.5,NA,NA,NA,NA,NA
